Chr	Start	End	Length	Strand	mESc.2i.RNA.DMSO.REP1	mESc.2i.RNA.DMSO.REP2	mESc.2i.RNA.DMSO.REP3	mESc.2i.RNA.RA.REP1	mESc.2i.RNA.RA.REP2	mESc.2i.RNA.RA.REP3
ENSMUSG00000081752	chrX	60028760	60029860	1101	-	0	0	0	0	0	0
ENSMUSG00000081753	chr11	60444549	60446531	1983	-	1	2	0	0	0	0
ENSMUSG00000081754	chr11	60387069	60389051	1983	-	1	0	0	3	1	0
ENSMUSG00000081755	chr4	61516438	61517588	630	-	0	0	0	0	0	0
ENSMUSG00000081756	chr11	64573219	64573529	311	-	0	0	0	0	0	0
ENSMUSG00000081757	chr2	95517874	95518012	139	+	0	0	0	0	0	0
ENSMUSG00000081758	chr2	165491997	165492357	361	-	0	0	0	0	0	0
ENSMUSG00000081761	chrX	136619025	136620000	976	-	1	0	1	1	1	0
ENSMUSG00000081762	chr2	87357189	87357657	469	-	21	13	9	13	2	7
ENSMUSG00000081763	chrX	14532224	14533100	877	-	27	32	22	16	2	9
ENSMUSG00000081765	chrX	59939225	59939710	486	+	0	0	0	0	0	0
ENSMUSG00000081766	chr11	88833971	88834316	346	+	949	825	761	671	117	577
ENSMUSG00000081767	chr11	24452438	24453962	1148	-	0	0	0	0	0	0
ENSMUSG00000081768	chr7	34783031	34791480	289	+	1	0	1	1	0	0
ENSMUSG00000081769	chr11	53596920	53672758	3870	-	2	1	2	4	1	3
ENSMUSG00000081770	chr4	49363394	49364399	1006	+	0	0	0	1	0	0
ENSMUSG00000081771	chr15	91387193	91388348	1156	-	1	0	2	0	1	1
ENSMUSG00000081772	chr4	133755745	133756065	321	-	0	0	0	0	0	0
ENSMUSG00000081773	chr18	38931150	38932001	852	-	2	0	0	0	0	2
ENSMUSG00000081774	chr2	102049569	102050536	968	-	0	0	0	0	0	0
ENSMUSG00000081775	chr4	84343767	84344814	1048	+	0	0	0	0	0	1
ENSMUSG00000081777	chr2	151525212	151525662	451	-	0	1	1	0	0	2
ENSMUSG00000081778	chrX	103555795	103579410	3114	-	0	0	0	0	0	0
ENSMUSG00000081779	chrX	100199063	100200370	1308	-	0	0	0	0	0	0
ENSMUSG00000081781	chrX	75266381	75266626	246	-	0	0	0	0	0	0
ENSMUSG00000081782	chrX	147440413	147441071	394	+	0	0	0	0	0	0
ENSMUSG00000081783	chr17	5110781	5112119	775	-	3	4	3	2	0	2
ENSMUSG00000081784	chr4	88294642	88295208	567	-	0	0	0	0	0	0
ENSMUSG00000081785	chr4	47113904	47114350	447	+	5	3	2	4	0	3
ENSMUSG00000081786	chr4	25280849	25281676	828	-	0	0	0	0	0	0
ENSMUSG00000081787	chr2	116353579	116354226	648	-	0	0	1	2	0	0
ENSMUSG00000081788	chr7	70687365	70689435	2071	+	3	5	2	7	2	3
ENSMUSG00000081789	chr4	25468938	25469428	491	-	2	1	1	0	0	0
ENSMUSG00000081790	chrX	51653872	51669033	537	+	0	0	0	0	0	0
ENSMUSG00000081791	chr11	49409241	49409427	187	-	2	4	3	2	0	2
ENSMUSG00000081792	chr4	142979321	142980687	2123	+	3	3	2	7	1	4
ENSMUSG00000081793	chrX	106196824	106197635	812	+	1	0	1	0	0	0
ENSMUSG00000081795	chrX	52114017	52130974	1280	+	0	0	0	0	0	0
ENSMUSG00000081796	chrX	91792302	91792908	607	-	0	1	1	0	0	0
ENSMUSG00000081797	chrX	154686729	154687302	574	+	5	3	4	3	1	3
ENSMUSG00000081798	chr5	107810400	107811036	637	-	9	6	2	6	2	3
ENSMUSG00000081799	chr2	139209568	139210076	509	-	0	0	0	0	0	0
ENSMUSG00000081800	chr2	158293685	158294133	641	-	1	0	2	4	1	1
ENSMUSG00000081801	chr2	83584641	83585893	1253	-	0	0	0	0	0	0
ENSMUSG00000081803	chrX	138114985	138115284	300	-	0	0	0	0	0	0
ENSMUSG00000081804	chrX	71898018	71904825	782	+	0	1	0	0	1	0
ENSMUSG00000081805	chr6	115588268	115589077	810	-	44	44	30	49	20	71
ENSMUSG00000081806	chrX	98254349	98254631	283	+	0	0	0	0	0	0
ENSMUSG00000081807	chrX	105255643	105260469	2846	+	18	10	6	12	6	11
ENSMUSG00000081808	chr11	60374426	60374807	382	-	0	0	0	0	0	0
ENSMUSG00000081809	chr16	3927606	3928171	566	+	9	18	5	14	4	8
ENSMUSG00000081810	chr4	22446775	22447174	400	+	0	0	1	0	0	0
ENSMUSG00000081811	chr11	26309207	26310501	764	+	18	41	12	20	5	72
ENSMUSG00000081812	chrX	23431945	23433160	1216	-	0	0	0	0	0	0
ENSMUSG00000081813	chr4	110182640	110182907	268	+	0	0	0	0	0	1
ENSMUSG00000081814	chrX	72029011	72031879	282	+	0	0	0	0	0	0
ENSMUSG00000081815	chrX	144543113	144544874	1762	+	0	0	0	0	0	0
ENSMUSG00000081816	chr13	76066913	76067776	864	-	9	8	6	11	1	14
ENSMUSG00000081817	chr2	62506840	62508427	1588	-	0	0	0	0	0	0
ENSMUSG00000081818	chr4	87901818	87902155	338	+	7	11	3	4	0	16
ENSMUSG00000081819	chr4	105047059	105047551	493	-	0	0	0	0	0	0
ENSMUSG00000081820	chr11	19683655	19684486	832	+	0	0	0	0	0	0
ENSMUSG00000081821	chrX	151911639	151912208	570	+	0	0	0	0	0	0
ENSMUSG00000081822	chr5	83728610	83729477	868	-	0	0	0	0	0	2
ENSMUSG00000081823	chr4	114811173	114829111	1477	-	0	0	0	0	0	0
ENSMUSG00000081824	chr16	42955744	42956064	640	+	91	69	84	82	15	46
ENSMUSG00000081825	chr7	34482289	34482756	468	+	0	0	1	0	0	0
ENSMUSG00000081827	chrX	146467536	146468594	871	+	0	0	0	0	0	0
ENSMUSG00000081828	chr11	82559306	82559707	402	-	1	2	4	3	0	3
ENSMUSG00000081829	chr3	137567973	137568363	391	+	6	2	5	1	1	6
ENSMUSG00000081830	chr2	45184752	45184985	234	+	0	0	0	0	0	0
ENSMUSG00000081831	chrX	110339150	110340929	1337	-	0	0	0	1	0	0
ENSMUSG00000081832	chrX	72106217	72106354	138	+	0	0	0	0	0	0
ENSMUSG00000081833	chr2	75646415	75646871	457	+	0	0	1	0	1	0
ENSMUSG00000081834	chr2	91363737	91364041	305	-	2	1	1	3	0	1
ENSMUSG00000081835	chr11	121026785	121027239	455	-	0	0	0	0	0	0
ENSMUSG00000081836	chr2	88492311	88493240	930	+	0	0	0	0	0	0
ENSMUSG00000081837	chrX	55437340	55437663	324	-	0	0	0	0	0	0
ENSMUSG00000081838	chr4	142742475	142742933	459	+	0	0	0	0	0	0
ENSMUSG00000081839	chr2	39380393	39380875	483	-	0	0	0	0	0	0
ENSMUSG00000081840	chr14	46538762	46539140	379	-	0	0	0	0	0	0
ENSMUSG00000081841	chr2	35338904	35339425	522	-	1	1	0	0	0	0
ENSMUSG00000081842	chr2	117066619	117067177	559	+	0	0	2	3	0	1
ENSMUSG00000081843	chrX	50135871	50136193	323	-	0	0	0	1	0	0
ENSMUSG00000081844	chr4	75548164	75549059	896	-	0	0	0	0	0	0
ENSMUSG00000081845	chrX	157923499	157924417	919	-	0	0	0	0	0	0
ENSMUSG00000081847	chr11	41404624	41405536	485	+	0	1	0	1	0	0
ENSMUSG00000081848	chrX	93389390	93389827	438	+	0	0	0	0	0	0
ENSMUSG00000081849	chr5	73404738	73408615	1234	+	0	0	0	0	0	0
ENSMUSG00000081850	chr14	31617565	31618346	782	+	6	11	6	19	4	19
ENSMUSG00000081851	chr2	17718461	17719611	1151	-	16	16	9	21	1	22
ENSMUSG00000081852	chr11	62510720	62511017	298	+	0	1	0	0	0	0
ENSMUSG00000081853	chr2	87076729	87077398	670	+	0	0	0	0	0	0
ENSMUSG00000081854	chr2	160671349	160672206	858	+	0	0	0	0	0	0
ENSMUSG00000081855	chr5	22118416	22119019	1159	-	1	0	2	3	0	0
ENSMUSG00000081856	chrX	41063568	41064285	718	+	0	0	0	0	0	0
ENSMUSG00000081857	chr2	69637208	69637669	462	-	0	0	0	1	0	0
ENSMUSG00000081858	chrX	16829188	16831520	940	+	4	6	1	9	1	4
ENSMUSG00000081859	chr7	111354528	111355523	996	+	0	0	0	0	0	0
ENSMUSG00000081860	chr11	96898321	96898797	477	+	0	1	1	1	1	3
ENSMUSG00000081861	chr2	22768813	22769352	540	-	2	1	0	1	0	0
ENSMUSG00000081862	chr4	84891355	84891666	312	-	1	1	0	0	0	1
ENSMUSG00000081863	chr7	35280440	35281084	645	-	0	0	0	0	0	0
ENSMUSG00000081864	chr11	74068723	74079738	1647	-	0	0	0	0	0	0
ENSMUSG00000081865	chr5	110547041	110547868	828	-	29	31	33	20	2	9
ENSMUSG00000081866	chr4	41199650	41199877	228	+	0	0	0	0	0	0
ENSMUSG00000081868	chr11	21180048	21180227	180	-	0	0	0	0	0	0
ENSMUSG00000081869	chrX	135791463	135792150	452	-	5	6	2	5	1	6
ENSMUSG00000081870	chrX	150671777	150674046	729	-	0	0	0	0	0	0
ENSMUSG00000081871	chr4	73158649	73159511	863	-	2	1	2	1	0	1
ENSMUSG00000081872	chr6	52793103	52793695	593	-	0	0	1	2	0	1
ENSMUSG00000081873	chr10	42050592	42051069	478	-	11	11	2	15	4	19
ENSMUSG00000081874	chrX	126140670	126140992	323	-	0	0	0	0	0	0
ENSMUSG00000081875	chrX	162923534	162924359	826	+	2	1	1	0	1	1
ENSMUSG00000081876	chr4	90823373	90823978	606	+	0	0	0	0	0	0
ENSMUSG00000081877	chrX	85633898	85634239	342	+	0	0	0	0	0	0
ENSMUSG00000081878	chr2	71600295	71600824	530	-	0	0	0	0	0	0
ENSMUSG00000081879	chr4	32698326	32698700	375	+	0	0	0	0	0	0
ENSMUSG00000081880	chrX	38646641	38648199	1559	-	0	0	1	1	0	0
ENSMUSG00000081881	chrX	75651015	75654774	2075	+	0	0	1	0	0	0
ENSMUSG00000081882	chr2	179098998	179099748	751	+	0	0	0	0	0	0
ENSMUSG00000081883	chr3	32778933	32779530	405	-	4	4	2	4	1	5
ENSMUSG00000081884	chr4	11327493	11328471	979	+	1	1	2	0	0	2
ENSMUSG00000081885	chr4	145231260	145234302	2850	+	136	149	132	135	37	82
ENSMUSG00000081886	chrX	97780348	97780747	400	+	0	0	0	0	0	0
ENSMUSG00000081887	chr11	30472791	30474454	1414	-	31	38	25	33	5	39
ENSMUSG00000081888	chr2	129204007	129205132	682	-	26	24	30	18	5	20
ENSMUSG00000081889	chr2	4002901	4003464	564	-	0	0	0	0	0	0
ENSMUSG00000081890	chr4	76439633	76440026	394	+	0	0	0	0	0	0
ENSMUSG00000081891	chrX	58071383	58071957	575	+	0	2	1	0	0	0
ENSMUSG00000081892	chrX	85817378	85818469	1092	-	4	1	3	1	0	2
ENSMUSG00000081893	chr4	88342095	88342602	159	-	0	0	0	0	0	0
ENSMUSG00000081894	chr2	126690239	126691064	826	+	0	0	0	0	0	0
ENSMUSG00000081895	chr7	79793613	79794216	1159	-	11	7	12	3	4	3
ENSMUSG00000081896	chrX	54912909	54914084	1176	+	1	1	1	0	2	0
ENSMUSG00000081897	chrX	140702592	140702747	156	-	1	0	0	0	0	1
ENSMUSG00000081898	chrX	9588914	9589805	892	+	0	1	1	0	0	0
ENSMUSG00000081899	chr2	67973721	67974669	949	+	0	0	0	1	1	1
ENSMUSG00000081900	chrX	126072046	126072831	786	+	0	0	0	0	0	0
ENSMUSG00000081901	chr8	19279009	19279846	285	-	0	0	0	0	0	0
ENSMUSG00000081902	chr4	49355120	49355450	331	+	0	0	0	0	0	0
ENSMUSG00000081903	chr13	33599996	33618180	772	+	0	0	0	0	0	0
ENSMUSG00000081904	chr2	34686450	34686630	181	+	0	0	1	0	0	1
ENSMUSG00000081905	chr13	30823646	30823905	260	+	0	0	0	0	0	0
ENSMUSG00000081906	chr11	83458548	83459123	576	-	1	3	0	1	0	0
ENSMUSG00000081907	chr2	87173959	87174154	196	+	0	0	0	1	0	0
ENSMUSG00000081908	chr2	87662767	87663703	937	+	0	0	0	0	0	0
ENSMUSG00000081909	chr13	24412171	24412617	447	+	0	0	0	0	0	0
ENSMUSG00000081910	chr3	103498721	103499120	400	+	0	0	0	0	0	0
ENSMUSG00000081911	chr7	112838773	112839081	309	-	0	0	0	0	0	0
ENSMUSG00000081912	chr13	23196165	23196642	478	+	0	0	0	0	0	0
ENSMUSG00000081913	chr4	6435088	6435531	444	-	0	0	0	1	0	0
ENSMUSG00000081914	chr13	22717627	22718351	725	-	0	0	0	0	0	0
ENSMUSG00000081915	chrX	154237956	154239278	1323	-	286	271	289	196	29	163
ENSMUSG00000081916	chr4	107360733	107361283	551	+	0	0	0	0	0	0
ENSMUSG00000081917	chrX	159332687	159333086	400	-	0	0	0	0	0	0
ENSMUSG00000081918	chrX	39095680	39096137	458	-	0	0	0	0	0	0
ENSMUSG00000081919	chr3	98473777	98482251	447	-	0	0	0	0	0	0
ENSMUSG00000081920	chr8	19579942	19580532	591	+	0	0	0	0	0	0
ENSMUSG00000081921	chr4	118113618	118113825	208	-	0	0	0	0	0	0
ENSMUSG00000081922	chrX	55655027	55655158	132	+	0	0	0	0	0	0
ENSMUSG00000081923	chrX	95021718	95022444	727	+	0	0	0	0	0	0
ENSMUSG00000081924	chr11	77560543	77561543	610	+	3	3	4	0	0	4
ENSMUSG00000081925	chr15	83860769	83861105	337	+	0	0	0	0	0	0
ENSMUSG00000081926	chr10	3307767	3307880	114	-	1	0	0	0	0	0
ENSMUSG00000081928	chrX	146802256	146802459	204	-	0	0	1	1	1	2
ENSMUSG00000081929	chr11	116244064	116244519	456	+	2	0	1	0	0	0
ENSMUSG00000081930	chr11	76963130	76964027	898	+	3	0	2	0	0	2
ENSMUSG00000081931	chrX	160901148	160903814	528	+	0	0	0	0	0	0
ENSMUSG00000081932	chr11	73891021	73891642	622	-	11	6	5	6	1	3
ENSMUSG00000081933	chrX	82961777	82962362	586	+	0	0	0	0	0	1
ENSMUSG00000081934	chr11	49590001	49590379	379	+	0	1	0	0	0	3
ENSMUSG00000081935	chr6	128980855	128981694	216	-	0	0	0	0	0	0
ENSMUSG00000081936	chr4	76457459	76457695	237	-	0	0	0	0	0	0
ENSMUSG00000081937	chrX	51119306	51123203	474	-	0	0	0	0	0	0
ENSMUSG00000081938	chrX	133641785	133642659	875	+	0	0	0	0	0	0
ENSMUSG00000081939	chr3	123687015	123687981	677	-	0	0	0	1	0	0
ENSMUSG00000081940	chrX	72157756	72165659	682	+	0	0	0	0	0	0
ENSMUSG00000081941	chr4	64517960	64519173	1214	-	20	18	20	30	4	36
ENSMUSG00000081942	chrX	147591150	147591509	360	+	0	0	0	0	0	0
ENSMUSG00000081943	chrX	98257599	98258397	617	+	2	2	1	2	0	5
ENSMUSG00000081944	chr11	62144923	62145223	301	+	9	6	1	12	5	6
ENSMUSG00000081945	chr7	110608737	110609703	967	+	0	0	0	0	0	0
ENSMUSG00000081946	chr2	166912684	166913239	556	-	15	7	8	4	0	4
ENSMUSG00000081947	chrX	11561601	11561776	176	+	0	0	0	0	0	0
ENSMUSG00000081948	chr2	88482905	88483861	1913	+	0	0	0	0	0	0
ENSMUSG00000081949	chr2	174929955	174935516	401	-	0	0	0	0	0	0
ENSMUSG00000081950	chr1	62703269	62704362	240	-	0	0	0	0	0	0
ENSMUSG00000081951	chr8	13021941	13022210	270	+	2	2	1	1	0	0
ENSMUSG00000081952	chr11	48103486	48103815	330	-	0	0	0	0	0	0
ENSMUSG00000081953	chr4	48357087	48358102	1016	-	10	9	5	5	1	1
ENSMUSG00000081954	chr2	61544950	61545648	402	-	0	2	1	0	0	0
ENSMUSG00000081955	chr2	85441945	85442875	931	-	0	0	0	0	0	0
ENSMUSG00000081957	chr2	72471993	72472664	672	+	0	0	0	0	0	0
ENSMUSG00000081958	chr11	97183642	97183803	162	-	0	0	0	0	0	0
ENSMUSG00000081959	chrX	8643161	8643992	832	-	0	0	0	0	0	0
ENSMUSG00000081960	chrX	88870734	88871652	919	+	0	0	0	0	0	0
ENSMUSG00000081961	chr11	73353921	73354855	935	-	0	0	0	0	0	0
ENSMUSG00000081962	chr7	34782018	34782604	587	+	1	0	0	1	0	1
ENSMUSG00000081963	chrX	145814960	145816728	1769	+	0	0	0	0	0	0
ENSMUSG00000081964	chr4	20318243	20319546	1304	+	1	0	0	0	0	0
ENSMUSG00000081965	chr11	105026090	105027934	1845	-	85	56	57	55	11	42
ENSMUSG00000081966	chr2	106840905	106841402	498	+	0	0	0	0	0	0
ENSMUSG00000081967	chr2	121306865	121307250	386	+	0	0	0	0	0	0
ENSMUSG00000081968	chr11	70692930	70693403	474	+	6	15	8	19	1	24
ENSMUSG00000081969	chrX	99333952	99334569	618	+	0	0	0	0	0	0
ENSMUSG00000081970	chr5	27332480	27334161	759	-	0	0	0	0	0	0
ENSMUSG00000081971	chr2	147106339	147106820	482	-	1	1	1	0	0	0
ENSMUSG00000081972	chrX	131266110	131266603	494	+	0	0	0	0	0	0
ENSMUSG00000081973	chr2	66701319	66702832	744	+	0	0	0	1	0	0
ENSMUSG00000081974	chr11	4463655	4464559	905	+	11	6	2	6	0	2
ENSMUSG00000081975	chr4	52834360	52834989	630	+	6	3	3	6	1	2
ENSMUSG00000081976	chrX	102763240	102763477	238	-	0	0	0	0	0	0
ENSMUSG00000081977	chr3	93077463	93086275	3164	+	0	0	0	1	0	1
ENSMUSG00000081978	chrX	111604029	111605389	1361	+	0	0	0	0	0	0
ENSMUSG00000081979	chr6	52068241	52068890	650	+	11	12	10	44	15	57
ENSMUSG00000081980	chr2	83985047	83985871	825	+	0	0	0	0	0	0
ENSMUSG00000081982	chr7	14431510	14432905	345	+	0	0	0	0	0	0
ENSMUSG00000081983	chr4	145236674	145237018	345	-	0	0	0	0	0	0
ENSMUSG00000081984	chr1	90101307	90102323	1017	-	4	9	5	5	0	1
ENSMUSG00000081985	chr4	26428590	26428806	217	-	0	0	0	0	0	0
ENSMUSG00000081986	chrX	100175227	100175984	758	+	0	0	0	0	0	0
ENSMUSG00000081987	chr4	92636935	92637427	493	-	0	0	0	0	0	0
ENSMUSG00000081988	chr16	23197168	23198194	1027	-	0	0	0	0	0	0
ENSMUSG00000081989	chr4	42104736	42107058	2995	+	0	0	0	0	0	0
ENSMUSG00000081990	chr2	16192115	16192421	307	-	0	0	0	0	1	0
ENSMUSG00000081991	chr6	34323691	34330789	1423	-	1	0	0	0	0	0
ENSMUSG00000081992	chr2	34420519	34421316	798	+	7	13	12	10	4	16
ENSMUSG00000081993	chrX	148999755	149000280	526	+	0	1	0	0	0	0
ENSMUSG00000081994	chrX	15101551	15101887	337	-	0	1	0	1	0	0
ENSMUSG00000081995	chr11	107192022	107192372	351	+	0	0	0	0	0	0
ENSMUSG00000081996	chrX	72969011	72969465	455	+	0	0	1	0	0	1
ENSMUSG00000081997	chr4	23349660	23349962	303	+	0	2	1	0	0	0
ENSMUSG00000081998	chr4	145717113	145717372	260	-	28	22	24	32	6	44
ENSMUSG00000081999	chr2	41842685	41844369	1641	-	94	73	83	84	52	62
ENSMUSG00000082000	chr3	100759364	100759862	499	+	0	0	0	0	0	0
ENSMUSG00000082001	chr5	136113009	136113366	358	-	1	0	1	1	0	0
ENSMUSG00000082002	chrX	153978798	153979494	697	+	0	0	0	0	0	0
ENSMUSG00000082003	chrX	120398653	120399054	402	+	0	0	0	0	0	0
ENSMUSG00000082004	chr2	56706144	56706415	272	+	0	0	1	2	0	0
ENSMUSG00000082005	chrX	37353959	37354387	429	-	2	1	3	2	2	1
ENSMUSG00000082006	chr2	77173416	77174021	606	+	0	3	2	1	0	0
ENSMUSG00000082007	chrX	159014550	159015003	454	-	1	0	1	0	0	0
ENSMUSG00000082008	chr4	40663628	40664024	397	-	7	2	4	2	0	3
ENSMUSG00000082009	chr4	119174470	119175151	611	-	0	0	0	0	0	0
ENSMUSG00000082010	chr2	88093116	88093957	842	-	0	0	0	0	0	0
ENSMUSG00000082011	chrX	133645879	133647421	1543	+	0	0	0	0	0	0
ENSMUSG00000082012	chr1	75632965	75633754	790	+	5	11	5	12	2	5
ENSMUSG00000082013	chr2	5524617	5525207	591	+	5	9	8	7	1	2
ENSMUSG00000082014	chr13	31101012	31105843	597	+	0	0	0	0	0	0
ENSMUSG00000082015	chr2	39430150	39431246	1097	+	0	0	0	0	0	0
ENSMUSG00000082016	chr7	28254790	28255554	765	-	0	0	0	0	0	0
ENSMUSG00000082017	chr4	70946976	70947412	437	+	0	0	0	0	0	0
ENSMUSG00000082018	chrX	136210619	136212029	1013	-	7	17	9	4	1	3
ENSMUSG00000082019	chrX	163373401	163373847	447	+	0	0	0	0	0	0
ENSMUSG00000082020	chr11	99524207	99524416	210	-	0	0	0	0	0	0
ENSMUSG00000082021	chrX	133021509	133023423	598	+	0	0	0	0	0	0
ENSMUSG00000082022	chr4	39791220	39791907	688	-	0	0	0	0	0	0
ENSMUSG00000082023	chr2	176870061	176870507	447	-	2	1	3	1	0	0
ENSMUSG00000082024	chr4	7690411	7690647	237	-	1	1	0	0	0	0
ENSMUSG00000082025	chrX	3490103	3495946	424	+	0	0	0	0	0	0
ENSMUSG00000082026	chrX	155271367	155272251	885	+	1	0	0	0	1	0
ENSMUSG00000082027	chr11	80860296	80862273	863	+	0	0	0	0	0	0
ENSMUSG00000082028	chr2	87233640	87234801	1162	+	0	1	2	2	1	1
ENSMUSG00000082029	chr2	119491362	119491772	411	-	1	0	1	0	0	0
ENSMUSG00000082030	chr4	143335690	143341288	5599	+	5	3	2	0	1	0
ENSMUSG00000082031	chrX	136980093	136980921	829	-	0	0	0	0	0	0
ENSMUSG00000082032	chr11	61229904	61230317	414	-	0	1	1	0	0	0
ENSMUSG00000082033	chrX	83545233	83550377	1615	-	1	0	5	2	0	1
ENSMUSG00000082034	chrX	122593661	122594059	399	-	0	0	0	0	0	0
ENSMUSG00000082035	chrX	93680198	93680818	621	+	0	0	0	0	0	0
ENSMUSG00000082036	chr6	29910993	29912147	1155	+	0	1	0	1	0	1
ENSMUSG00000082037	chr13	22966971	22967262	292	-	0	0	0	0	0	0
ENSMUSG00000082038	chr11	26612905	26613373	469	+	0	0	0	0	0	0
ENSMUSG00000082039	chr5	73867683	73868592	886	-	2	2	3	1	0	1
ENSMUSG00000082040	chr11	21393628	21393958	331	-	0	0	0	0	0	0
ENSMUSG00000082042	chr7	4209303	4210957	1169	+	0	0	0	0	0	0
ENSMUSG00000082043	chr4	115324994	115326085	842	+	0	0	0	0	0	0
ENSMUSG00000082044	chr2	131147824	131148102	279	-	5	2	2	4	0	1
ENSMUSG00000082045	chr11	101985386	101985954	1136	+	0	0	0	0	0	0
ENSMUSG00000082046	chr2	78437826	78439079	1254	+	0	0	0	0	0	0
ENSMUSG00000082047	chr4	126974028	126974709	682	-	0	0	0	0	0	0
ENSMUSG00000082048	chr4	62600555	62600809	255	+	0	0	0	0	0	0
ENSMUSG00000082049	chr11	31020003	31020781	779	+	2	3	1	8	1	5
ENSMUSG00000082050	chr2	123098882	123099081	200	+	6	8	6	8	2	5
ENSMUSG00000082051	chr18	12445913	12448289	2377	+	1	1	0	0	1	0
ENSMUSG00000082052	chr5	115278582	115279224	643	-	3	3	2	2	0	3
ENSMUSG00000082053	chr4	66386104	66386578	475	-	0	0	0	0	0	1
ENSMUSG00000082054	chrX	7527282	7527994	713	-	0	0	1	0	0	0
ENSMUSG00000082055	chr4	60374511	60374658	148	+	0	0	0	0	0	0
ENSMUSG00000082056	chr2	87711838	87712364	527	+	0	0	1	0	0	0
ENSMUSG00000082057	chr1	66830487	66833019	1359	+	22	22	14	25	8	32
ENSMUSG00000082058	chr4	29417306	29417813	508	+	0	0	0	0	0	0
ENSMUSG00000082059	chr1	75538786	75539133	348	+	0	2	0	0	0	1
ENSMUSG00000082060	chrX	140581853	140583716	954	+	0	0	0	0	0	0
ENSMUSG00000082061	chr4	105250945	105251545	601	+	8	5	9	5	0	1
ENSMUSG00000082062	chr4	125181532	125182083	552	+	4	7	3	3	0	8
ENSMUSG00000082063	chr4	116547193	116548070	479	-	3	1	0	1	0	3
ENSMUSG00000082064	chr2	154529545	154530435	891	+	34	24	31	30	4	24
ENSMUSG00000082065	chr4	61269324	61272015	532	+	0	0	0	0	0	0
ENSMUSG00000082066	chr2	106851095	106851931	837	+	0	0	0	0	0	0
ENSMUSG00000082067	chrX	52274021	52289136	468	+	0	0	0	0	0	0
ENSMUSG00000082068	chr5	92792930	92794537	1608	+	0	0	0	0	0	1
ENSMUSG00000082069	chr6	129745488	129763954	553	-	0	0	0	0	0	0
ENSMUSG00000082070	chrX	111705657	111706133	477	-	0	0	0	0	0	0
ENSMUSG00000082071	chrX	131805392	131808753	1383	+	0	0	0	0	0	0
ENSMUSG00000082072	chr6	149382302	149382995	694	-	6	1	3	4	1	1
ENSMUSG00000082073	chr4	153422132	153422237	106	-	0	0	0	0	0	0
ENSMUSG00000082074	chr11	50790232	50793566	3335	+	0	0	0	0	0	0
ENSMUSG00000082075	chr4	143630936	143632381	1446	-	0	0	0	0	0	0
ENSMUSG00000082076	chrX	154588028	154589111	1084	+	0	0	0	0	0	0
ENSMUSG00000082077	chr7	110848090	110849268	822	-	0	0	0	0	0	0
ENSMUSG00000082078	chr11	30468182	30468898	508	-	13	21	10	13	5	12
ENSMUSG00000082079	chr2	153522388	153555641	2218	+	0	4	1	2	0	6
ENSMUSG00000082080	chr7	48590751	48594243	4333	+	0	0	0	0	0	0
ENSMUSG00000082081	chrX	3853972	3856850	403	+	0	0	0	0	0	0
ENSMUSG00000082082	chr4	145036643	145040791	1575	+	5258	5069	4571	5931	1880	3656
ENSMUSG00000082083	chrX	67817292	67817784	493	-	0	0	0	0	0	0
ENSMUSG00000082084	chr7	111800766	111801722	957	+	0	0	0	0	0	0
ENSMUSG00000082085	chrX	141699374	141700069	696	-	1	1	1	0	0	1
ENSMUSG00000082087	chr11	40486312	40487358	1512	-	0	3	1	2	0	5
ENSMUSG00000082088	chr5	138161582	138162968	1062	-	3	3	4	5	0	6
ENSMUSG00000082089	chr3	98646794	98646961	168	-	0	0	0	0	0	0
ENSMUSG00000082090	chrX	12815453	12816679	1227	+	0	0	0	0	0	0
ENSMUSG00000082091	chr2	111538880	111539035	156	-	0	1	0	0	0	0
ENSMUSG00000082092	chrX	58642202	58642758	557	+	0	0	0	0	0	0
ENSMUSG00000082093	chr7	3944839	3945125	287	-	0	0	0	1	0	0
ENSMUSG00000082094	chr2	111348730	111349668	939	-	0	0	0	0	0	0
ENSMUSG00000082095	chr11	8784226	8785299	1074	-	0	0	1	0	0	0
ENSMUSG00000082096	chr2	54092980	54093796	817	+	0	0	0	0	0	0
ENSMUSG00000082097	chr2	129188495	129188595	101	-	0	0	0	0	0	0
ENSMUSG00000082098	chr11	70882925	70883636	246	+	0	0	0	0	0	0
ENSMUSG00000082099	chr11	16995493	16995647	155	-	4	4	3	3	0	3
ENSMUSG00000082100	chr11	19620358	19621475	1118	+	19	14	10	9	2	8
ENSMUSG00000082101	chr11	83088614	83100228	6398	-	0	1	0	0	0	1
ENSMUSG00000082102	chrX	37460991	37461566	576	-	0	0	0	0	0	0
ENSMUSG00000082103	chr17	34528306	34535107	364	-	0	0	0	0	0	0
ENSMUSG00000082104	chr5	151312269	151313913	616	-	0	0	0	0	0	0
ENSMUSG00000082105	chr11	60405223	60405604	382	-	0	0	0	0	0	0
ENSMUSG00000082106	chrX	140989721	140990880	2249	-	18	15	15	15	3	8
ENSMUSG00000082107	chr19	24364206	24365316	1111	+	0	0	0	0	0	0
ENSMUSG00000082108	chr2	90870935	90871279	345	-	19	10	25	15	7	8
ENSMUSG00000082109	chrX	5648340	5648930	591	+	12	5	8	10	3	2
ENSMUSG00000082110	chr11	78398663	78399057	395	-	4	2	4	5	1	6
